MEM = DETERMINISTIC
TIME = 190531/1344
STID = ABR SLAT = -45.45 SLON = -98.42 MALT = -999

PRES, HGHT, TEMP, DEWP, UWIN, VWIN, OMGA
1012.2,20,11.9,11.093,-8.164,-19.152,0
1001.6,120,11.9,11.415,-9.7079,-31.248,0
990.97,220,11.863,11.627,-11.813,-37.732,0
980.44,320,10.977,10.782,-14.574,-39.944,0
969.98,420,10.127,9.8764,-14.346,-42.348,0
959.58,520,9.2305,8.9231,-13.541,-44.979,0
949.24,620,8.3359,7.9769,-12.335,-47.356,0
938.96,720,7.4963,7.0245,-10.872,-49.001,0
928.74,820,6.7627,6.0894,-9.2722,-49.437,0
918.59,920,6.1049,4.8653,-6.8824,-48.466,0
908.49,1020,5.5068,3.4462,-3.788,-46.699,0
898.45,1120,4.9847,2.1864,-0.5535,-44.882,0
888.47,1220,4.556,0.9551,2.8868,-43.297,0
878.54,1320,4.2061,0.1248,7.0991,-41.501,0
868.66,1420,3.8905,-0.10163,11.399,-39.701,0
858.83,1520,3.5646,-0.11372,15.07,-38.119,0
849.05,1620,3.1835,-0.12144,17.396,-36.98,0
839.34,1720,2.6964,-0.29331,17.843,-36.456,0
829.69,1820,2.0294,-0.63164,17.771,-36.151,0
820.09,1920,1.2235,-1.1209,17.625,-35.917,0
810.57,2020,0.34335,-1.7471,17.413,-35.73,0
801.13,2120,-0.54624,-2.472,17.145,-35.567,0
791.75,2220,-1.3806,-3.18,16.827,-35.404,0
782.44,2320,-2.0951,-3.7909,16.47,-35.218,0
773.21,2420,-2.6653,-4.27,15.77,-34.985,0
764.06,2520,-3.1569,-4.6729,14.351,-34.713,0
754.99,2620,-3.6054,-5.0424,12.557,-34.434,0
746,2720,-4.0454,-5.4107,10.744,-34.182,0
737.07,2820,-4.5112,-5.8049,9.2705,-33.991,0
728.19,2920,-5.0372,-6.2522,8.4937,-33.896,0
719.35,3020,-5.6465,-6.7638,8.484,-34.364,0
710.55,3120,-6.322,-7.3017,8.6383,-36.223,0
701.81,3220,-7.0548,-7.8839,8.9042,-38.798,0
693.11,3320,-7.8374,-8.5344,9.2679,-41.34,0
684.44,3420,-8.6622,-9.2749,9.7156,-43.097,0
675.8,3520,-9.5443,-10.14,10.316,-43.057,0
667.16,3620,-10.582,-11.179,11.628,-39.942,0
658.55,3720,-11.443,-12.048,12.991,-38.725,0
650,3820,-12.155,-12.774,14.388,-38.756,0
641.55,3920,-12.804,-13.441,15.926,-38.819,0
633.22,4020,-13.402,-14.064,17.553,-38.907,0
624.98,4120,-13.96,-14.679,19.218,-39.013,0
616.83,4220,-14.488,-15.289,20.871,-39.132,0
608.77,4320,-14.998,-15.895,22.461,-39.255,0
600.79,4420,-15.501,-16.494,23.936,-39.377,0
592.9,4520,-16.008,-17.087,25.246,-39.49,0
585.09,4620,-16.531,-17.699,26.34,-39.589,0
577.37,4720,-17.079,-18.34,27.166,-39.666,0
569.72,4820,-17.665,-19.017,27.674,-39.715,0
562.16,4920,-18.299,-19.737,27.816,-39.729,0
554.68,5020,-19.011,-20.527,27.705,-39.726,0
547.27,5120,-19.802,-21.391,27.439,-39.72,0
539.95,5220,-20.66,-22.317,27.036,-39.709,0
532.7,5320,-21.57,-23.293,26.517,-39.693,0
525.53,5420,-22.52,-24.304,25.902,-39.672,0
518.44,5520,-23.494,-25.34,25.209,-39.645,0
511.42,5620,-24.48,-26.389,24.459,-39.612,0
504.48,5720,-25.465,-27.432,23.671,-39.572,0
497.61,5820,-26.434,-28.451,22.866,-39.526,0
490.81,5920,-27.373,-29.427,22.062,-39.471,0
484.09,6020,-28.27,-30.347,21.279,-39.408,0
477.43,6120,-29.11,-31.205,20.538,-39.337,0
470.85,6220,-29.88,-31.991,19.857,-39.257,0
464.33,6320,-30.567,-32.697,19.256,-39.168,0
457.89,6420,-31.156,-33.313,18.756,-39.069,0
451.51,6520,-31.634,-33.823,18.375,-38.959,0
445.2,6620,-31.988,-34.214,18.133,-38.839,0
438.96,6720,-32.203,-34.475,18.051,-38.707,0
432.78,6820,-32.307,-34.634,18.624,-37.615,0
426.68,6920,-32.377,-34.775,19.985,-35.656,0
420.63,7020,-32.474,-34.964,21.674,-34.249,0
414.66,7120,-32.749,-35.336,23.595,-34.487,0
408.74,7220,-33.416,-36.088,26.329,-35.87,0
